90',assist,Assist Yevhen Konoplyanka ;
90',goal,Goal Alessandro Schöpf ;
88',substitution,;
85',substitution,;
74',substitution,;
69',substitution,;
60',goal,Goal Eric Maxim Choupo-Moting ;
54',substitution,;
50',yellow-card,Yellow Card Sandro Sirigu ;
46',substitution,;
39',yellow-card,Yellow Card Artem Fedetskiy ;
28',penalty-save,Penalty save Michael Esser ;
28',missed-penalty,Missed Penalty Eric Maxim Choupo-Moting ;
26',assist,Assist Eric Maxim Choupo-Moting ;
26',goal,Goal Sead Kolasinac ;
6',assist,Assist Sandro Sirigu ;
6',goal,Goal Marcel Heller ;
