90' + 2',assist,Assist Ludovic Baal ;
90' + 2',goal,Goal Kamil Grosicki ;
89',substitution,;
84',substitution,;
83',yellow-card,Yellow Card Ole Kristian Selnaes ;
74',substitution,;
74',substitution,;
73',yellow-card,Yellow Card Giovanni-Guy Yann Sio ;
68',substitution,;
65',substitution,;
65',yellow-card,Yellow Card Benjamin Andre ;
57',yellow-card,Yellow Card Jordan Veretout ;
54',assist,Assist Benjamin Andre ;
54',goal,Goal P. Ntep ;
51',yellow-card,Yellow Card Gelson Fernandes ;
