80',substitution,Substitution sub-out Gaël Danic sub-in Axel Ngando .
80',yellow-card,Yellow Card Enzo Crivelli.
79',assist,Assist Thomas Lemar.
79',goal,Goal Guido Marcelo Carrillo.
79',substitution,Substitution sub-out Kylian Mbappe Lottin sub-in Guido Marcelo Carrillo .
76',substitution,Substitution sub-out Radamel Falcao sub-in Valère Germain .
74',substitution,Substitution sub-out Abdelhamid El Kaoutari sub-in Abdoulaye Keita .
74',substitution,Substitution sub-out Bernardo Silva sub-in Nabil Dirar .
73',assist,Assist Thomas Lemar.
73',goal,Goal Radamel Falcao.
70',substitution,Substitution sub-out S. Diallo sub-in Lenny Nangis .
69',yellow-card,Yellow Card Kylian Mbappe Lottin.
68',assist,Assist Kylian Mbappe Lottin.
68',goal,Goal Radamel Falcao.
66',assist,Assist Radamel Falcao.
66',goal,Goal Thomas Lemar.
38',yellow-card,Yellow Card Gaël Danic.
23',yellow-card,Yellow Card Gilles Cioni.
21',yellow-card,Yellow Card Jemerson.
17',yellow-card,Yellow Card Fabinho.
10',goal,Goal Kylian Mbappe Lottin.
