"
Congo DR
","
Ghana
"
Starting XI
1,L. Matampi,[],1,R. Brimah,[]
22,C. Mbemba,[],21,J. Boye,[]
5,M. Tisserand,"[('yellow-card', ""61'"")]",23,H. Afful,[]
13,L. Mutambala,"[('yellow-card', ""59'"")]",6,A. Acquah,[]
2,D. Issama,[],11,M. Wakaso,"[('yellow-card', ""58'"")]"
18,M. Bokadi,[],5,T. Partey,[]
15,R. Mulumba,"[('yellow-card', ""16'""), ('sub-out', ""85'"")]",18,D. Amartey,"[('yellow-card', ""74'"")]"
6,J. Kabananga,[],10,A. Ayew,[]
9,D. Mbokani,[],22,F. Acheampong,[]
21,N. Mubele,"[('sub-out', ""83'"")]",9,J. Ayew,[]
8,P. M'Poku,"[('sub-out', ""83'"")]",7,C. Atsu,[]
