"
Blackpool
","
Barnsley
"
Starting XI
1,S. Slocombe,[],1,A. Davies,[]
15,T. Aldred,[],2,J. Bree,[]
5,C. Robertson,[],4,M. Roberts,[]
3,A. Taylor,[],5,A. MacDonald,[]
28,J. Payne,"[('sub-out', ""74'"")]",3,A. White,[]
6,W. Aimson,[],8,C. Hourihane,[]
8,B. Potts,[],6,J. Scowen,"[('yellow-card', ""63'"")]"
4,J. McAlister,[],15,M. Watkins,[]
2,K. Mellor,[],7,A. Hammill,"[('sub-out', ""75'"")]"
7,K. Vassell,"[('sub-out', ""69'"")]",9,S. Winnall,[]
9,M. Cullen,"[('sub-out', ""68'"")]",20,T. Bradshaw,"[('sub-out', ""75'"")]"
