"
Querétaro","
Atlas
"
Starting XI
1,Tiago Volpi,[],30,M. Fraga,[]
3,M. Martínez,[],3,L. Jiménez,[]
6,J. Forlín,"[('sub-out', ""46'"")]",18,L. Robles,[]
27,H. Mier,[],5,G. Aguirre,[]
19,Y. Candelo,[],14,R. Reyes,"[('sub-out', ""69'"")]"
28,J. Gómez,[],13,J. Salas,[]
12,J. Bornstein,[],20,C. Aboagye,[]
14,L. Noriega,"[('sub-out', ""46'"")]",28,M. Barragán,"[('sub-out', ""78'"")]"
29,N. Cardozo,[],8,D. Álvarez,[]
11,E. Benítez,"[('sub-out', ""72'"")]",11,M. Alustiza,"[('sub-out', ""81'"")]"
30,E. Villa,[],27,J. Madueña,[]
