"
Wigan Athletic
","
Nottingham Forest
"
Starting XI
28,J. Haugaard,[],30,S. Henderson,[]
23,S. Warnock,[],28,T. Lam,[]
3,J. Buxton,[],4,M. Mancienne,[]
33,D. Burn,[],2,E. Lichaj,[]
16,S. MacDonald,"[('yellow-card', ""13'"")]",25,J. Hobbs,"[('yellow-card', ""6'"")]"
25,N. Powell,"[('sub-out', ""9'"")]",41,M. Cash,[]
17,M. Jacobs,"[('yellow-card', ""36'"")]",17,Hildeberto Pereira,"[('yellow-card', ""90'+"")]"
6,M. Power,"[('yellow-card', ""90'+"")]",11,B. Osborn,[]
8,Sam Morsy,[],12,N. Dumitru,"[('sub-out', ""63'"")]"
31,Y. Wildschut,"[('sub-out', ""69'"")]",14,N. Bendtner,"[('sub-out', ""82'"")]"
9,W. Grigg,"[('sub-out', ""88'"")]",9,B. Assombalonga,"[('sub-out', ""56'"")]"
