"
Real Sociedad","
Barcelona"
Starting XI
1,G. Rulli,[],1,M. ter Stegen,"[('yellow-card', ""22'"")]"
6,Íñigo Martínez,[],14,J. Mascherano,"[('yellow-card', ""55'"")]"
22,Raúl Navas,[],18,Jordi Alba,"[('yellow-card', ""90'+"")]"
2,Carlos Martínez,"[('yellow-card', ""62'"")]",3,Piqué,[]
19,Yuri,[],21,André Gomes,[]
17,Zurutuza,"[('yellow-card', ""89'"")]",4,I. Rakitić,"[('sub-out', ""46'"")]"
4,Illarramendi,[],5,Busquets,[]
10,Xabi Prieto,"[('sub-out', ""72'"")]",20,Sergi Roberto,[]
11,C. Vela,[],10,L. Messi,[]
12,Willian José,"[('sub-out', ""75'"")]",11,Neymar,[]
18,Mikel Oyarzabal,"[('sub-out', ""85'"")]",9,L. Suárez,[]
