"
Stoke City","
Manchester United
"
Starting XI
33,L. Grant,"[('yellow-card', ""59'"")]",1,David de Gea,[]
3,E. Pieters,"[('yellow-card', ""62'"")]",12,C. Smalling,[]
15,B. Martins Indi,[],4,P. Jones,[]
8,G. Johnson,[],27,M. Fellaini,"[('sub-out', ""56'"")]"
17,R. Shawcross,[],22,H. Mkhitaryan,"[('sub-out', ""73'"")]"
16,C. Adam,"[('sub-out', ""63'"")]",6,P. Pogba,[]
22,X. Shaqiri,"[('sub-out', ""73'"")]",8,Mata,"[('sub-out', ""67'"")]"
6,G. Whelan,[],21,Ander Herrera,[]
4,J. Allen,"[('yellow-card', ""90'+"")]",17,D. Blind,[]
25,P. Crouch,[],25,A. Valencia,[]
10,M. Arnautović,"[('yellow-card', ""7'""), ('sub-out', ""88'"")]",9,Z. Ibrahimović,[]
