"
Sporting Gijón","
Villarreal"
Starting XI
1,Pichu Cuéllar,[],1,Sergio Asenjo,[]
2,Douglas Pereira,[],6,Víctor Ruíz,[]
3,J. Babin,"[('sub-out', ""36'"")]",2,Mario Gaspar,[]
4,Jorge Meré,[],11,Jaume Costa,[]
5,F. Amorebieta,"[('yellow-card', ""55'""), ('sub-out', ""63'"")]",12,Álvaro González,[]
23,Moi Gómez,[],21,Bruno,[]
6,Sergio Álvarez,[],14,Trigueros,[]
8,R. Aït-Atmane,"[('sub-out', ""35'"")]",20,R. Soriano,"[('yellow-card', ""40'""), ('sub-out', ""77'"")]"
18,Isma López,[],8,J. dos Santos,[]
24,D. Čop,[],10,Alexandre Pato,"[('sub-out', ""88'"")]"
19,Carlos Carmona,[],18,N. Sansone,"[('sub-out', ""81'"")]"
