"
Mainz 05
","
Hamburger SV
"
Starting XI
1,J. Lössl,[],31,C. Mathenia,[]
18,D. Brosinski,[],6,Douglas Santos,[]
16,S. Bell,[],2,D. Diekmeier,"[('sub-out', ""71'"")]"
42,A. Hack,[],4,E. Spahić,"[('yellow-card', ""43'"")]"
2,G. Donati,[],24,G. Sakai,[]
10,Y. Mallı,[],22,M. Ostrzolek,"[('yellow-card', ""79'"")]"
22,André Ramalho,"[('sub-out', ""83'"")]",28,G. Jung,[]
6,D. Latza,"[('yellow-card', ""68'""), ('sub-out', ""90'"")]",27,N. Müller,[]
32,P. De Blasis,"[('yellow-card', ""41'"")]",11,M. Gregoritsch,"[('yellow-card', ""53'""), ('sub-out', ""71'"")]"
21,K. Onisiwo,"[('sub-out', ""76'"")]",17,F. Kostić,[]
15,J. Córdoba,[],7,B. Wood,"[('sub-out', ""84'"")]"
