"
Pachuca","
Necaxa
"
Starting XI
21,Ó. Pérez,[],1,M. Barovero,[]
4,O. González,"[('yellow-card', ""34'"")]",5,F. Meza,"[('yellow-card', ""9'"")]"
23,O. Murillo,[],26,Jairo González,"[('yellow-card', ""38'""), ('sub-out', ""90'"")]"
5,V. Guzmán,"[('sub-out', ""69'"")]",2,B. Beckeles,"[('yellow-card', ""75'"")]"
33,S. Medina,"[('yellow-card', ""66'""), ('sub-out', ""69'"")]",33,M. De Luna,[]
7,R. Pizarro,[],22,E. Puch,[]
12,E. García,[],16,M. Iturra,[]
16,J. Hernández,[],11,J. Isijara,"[('sub-out', ""81'"")]"
10,J. Urretaviscaya,[],7,M. García,"[('yellow-card', ""87'"")]"
8,H. Lozano,"[('sub-out', ""90'"")]",18,F. Gallegos,[]
29,F. Jara,[],21,F. Espíndola,"[('sub-out', ""74'"")]"
