"
Ingolstadt","
Wolfsburg
"
Starting XI
35,M. Hansen,[],1,D. Benaglio,[]
29,M. Suttner,[],5,J. Bruma,[]
3,A. Jung,"[('sub-out', ""67'"")]",34,R. Rodríguez,[]
33,F. Hadergjonaj,[],10,J. Draxler,"[('sub-out', ""75'"")]"
32,M. Tisserand,[],23,J. Guilavogui,"[('yellow-card', ""51'"")]"
34,M. Matip,[],11,D. Didavi,"[('sub-out', ""46'"")]"
36,A. Cohen,"[('yellow-card', ""33'"")]",27,M. Arnold,"[('sub-out', ""46'"")]"
10,P. Groß,"[('sub-out', ""90'"")]",13,Y. Gerhardt,[]
8,Roger,"[('yellow-card', ""52'"")]",22,Luiz Gustavo,[]
9,M. Hartmann,"[('sub-out', ""76'"")]",30,P. Seguin,[]
7,M. Leckie,[],33,M. Gómez,[]
