"
Chelsea","
Tottenham Hotspur
"
Starting XI
13,T. Courtois,[],1,H. Lloris,[]
24,G. Cahill,[],5,J. Vertonghen,[]
3,Marcos Alonso,[],27,K. Wimmer,[]
30,David Luiz,"[('yellow-card', ""19'"")]",2,K. Walker,[]
28,Azpilicueta,[],23,C. Eriksen,[]
15,V. Moses,"[('sub-out', ""81'"")]",20,D. Alli,"[('sub-out', ""73'"")]"
21,N. Matić,[],15,E. Dier,[]
11,Pedro,"[('sub-out', ""83'"")]",12,V. Wanyama,[]
7,N. Kanté,[],19,M. Dembélé,"[('yellow-card', ""26'""), ('sub-out', ""83'"")]"
10,E. Hazard,"[('sub-out', ""77'"")]",10,H. Kane,[]
19,Diego Costa,[],7,Heung-Min Son,"[('sub-out', ""65'"")]"
