"
New York City","
SJ Earthquakes
"
Starting XI
1,S. Johnson,[],1,D. Bingham,[]
22,R. Matarrita,[],5,V. Bernárdez,"[('red-card', ""80'"")]"
6,A. Callens,[],20,S. Francis,[]
3,E. White,[],23,F. Jungwirth,[]
4,M. Chanot,[],24,N. Lima,[]
8,A. Ring,"[('yellow-card', ""54'"")]",17,D. Cerén,[]
21,A. Pirlo,"[('sub-out', ""63'"")]",22,T. Thompson,"[('sub-out', ""71'"")]"
10,M. Moralez,"[('sub-out', ""85'"")]",27,F. Alashe,[]
23,R. Wallace,"[('yellow-card', ""59'"")]",49,S. Dawkins,"[('sub-out', ""71'"")]"
11,J. Harrison,"[('yellow-card', ""86'"")]",8,C. Wondolowski,[]
7,David Villa,"[('sub-out', ""89'"")]",21,M. Ureña,"[('sub-out', ""58'"")]"
