"
Veracruz
","
Necaxa"
Starting XI
1,P. Gallese,[],1,M. Barovero,[]
24,R. Noya,[],26,Jairo González,[]
4,A. Briseño ,[],3,M. González,"[('yellow-card', ""86'"")]"
20,Jefferson Murillo,[],33,M. De Luna,[]
14,C. Pellerano,"[('yellow-card', ""89'"")]",2,B. Beckeles,[]
17,E. Arévalo,[],22,E. Puch,[]
8,Á. Reyna,"[('sub-out', ""71'"")]",7,M. García,[]
28,J. Paganoni,[],8,X. Báez,"[('sub-out', ""88'"")]"
39,L. Velázquez,"[('sub-out', ""73'"")]",11,J. Isijara,"[('sub-out', ""82'"")]"
21,A. Luna,[],16,M. Iturra,[]
9,D. Villalba,"[('sub-out', ""42'"")]",19,C. Riaño,"[('sub-out', ""54'"")]"
