"
Willem II
","
Twente
"
Starting XI
1,K. Lamprou,[],1,N. Marsman,[]
3,F. Heerkens,[],5,S. Thesker,[]
26,K. Tshimanga,[],2,H. ter Avest,[]
46,P. van Anholt,[],28,J. van der Lely,[]
29,D. Lachman,[],25,P. Bijen,[]
4,J. Peters,"[('sub-out', ""18'"")]",43,M. Klich,[]
20,A. Kali,[],22,K. Mokotjo,[]
6,F. Ojo,"[('yellow-card', ""70'"")]",17,E. Ünal,[]
8,T. Haye,"[('sub-out', ""72'"")]",11,D. Seys,[]
14,J. Croux,[],14,Y. Yeboah,"[('sub-out', ""65'"")]"
9,Fran Sol,[],10,B. Celina,"[('sub-out', ""85'"")]"
