"
Chelsea
","
Hull City
"
Starting XI
13,T. Courtois,[],16,E. Jakupovic,[]
24,G. Cahill,[],6,C. Davies,"[('yellow-card', ""26'""), ('sub-out', ""59'"")]"
28,Azpilicueta,[],21,M. Dawson,"[('yellow-card', ""7'"")]"
30,David Luiz,[],14,O. Elabdellaoui,[]
3,Marcos Alonso,[],5,H. Maguire,[]
7,N. Kanté,"[('yellow-card', ""43'"")]",3,A. Robertson,"[('yellow-card', ""52'"")]"
21,N. Matić,[],25,R. Mason,"[('sub-out', ""21'"")]"
15,V. Moses,[],8,T. Huddlestone,[]
11,Pedro,"[('sub-out', ""71'"")]",40,Evandro,[]
10,E. Hazard,"[('sub-out', ""71'"")]",11,S. Clucas,[]
19,Diego Costa,"[('sub-out', ""87'"")]",9,A. Hernández,"[('sub-out', ""75'"")]"
