"
Roda JC","
Utrecht
"
Starting XI
1,B. van Leer,[],16,D. Jensen,[]
5,A. van Peppen,[],2,M. van der Maarel,[]
3,C. Kum,[],3,R. Leeuwin,[]
20,D. Werker,[],15,Robin van der Meer,[]
2,M. Milec,[],26,D. Rosheuvel,"[('sub-out', ""53'"")]"
7,T. Van Hyfte,"[('yellow-card', ""82'"")]",6,Y. Ayoub,[]
14,A. Ajagun,[],25,S. Amrabat,[]
8,A. Auassar,[],8,W. Janssen,"[('sub-out', ""29'"")]"
16,Marcos Gullón,"[('sub-out', ""85'"")]",9,R. Zivkovic,[]
11,N. Mytides,"[('sub-out', ""78'"")]",10,N. Barazite,"[('sub-out', ""88'"")]"
17,M. Rosheuvel,"[('sub-out', ""90'+"")]",22,S. Haller,[]
