"
Genoa
","
Sampdoria
"
Starting XI
23,E. Lamanna,[],2,E. Viviano,"[('yellow-card', ""90'+"")]"
8,N. Burdisso,"[('yellow-card', ""86'"")]",37,M. Škriniar,[]
5,A. Izzo,[],26,M. Silvestre,[]
24,E. Muñoz,[],22,J. Sala,"[('yellow-card', ""41'"")]"
93,D. Laxalt,[],19,V. Regini,[]
4,I. Cofie,"[('yellow-card', ""20'""), ('sub-out', ""83'"")]",10,Bruno Fernandes,"[('sub-out', ""75'"")]"
10,O. Ntcham,"[('yellow-card', ""51'""), ('sub-out', ""90'+"")]",8,É. Barreto,"[('yellow-card', ""52'"")]"
22,D. Lazović,"[('sub-out', ""76'"")]",34,L. Torreira,[]
15,O. Hiljemark,[],16,K. Linetty,[]
51,M. Pinilla,"[('yellow-card', ""45'"")]",9,L. Muriel,"[('yellow-card', ""72'""), ('sub-out', ""87'"")]"
9,G. Simeone,[],27,F. Quagliarella,"[('sub-out', ""67'"")]"
