"
Ajax
","
Twente
"
Starting XI
24,A. Onana,[],1,N. Marsman,[]
5,D. Sánchez,[],5,S. Thesker,[]
26,N. Viergever,[],28,J. van der Lely,[]
3,J. Veltman,[],2,H. ter Avest,[]
8,D. Sinkgraven,"[('sub-out', ""76'"")]",3,J. Andersen,[]
10,D. Klaassen,[],19,F. Jensen,"[('sub-out', ""75'"")]"
22,H. Ziyech,[],7,C. Ede,"[('sub-out', ""59'"")]"
9,B. Traoré,"[('sub-out', ""60'"")]",43,M. Klich,"[('yellow-card', ""52'"")]"
25,K. Dolberg,[],22,K. Mokotjo,[]
20,L. Schöne,"[('sub-out', ""81'"")]",17,E. Ünal,[]
11,A. Younes,[],10,B. Celina,"[('sub-out', ""75'"")]"
