"
Augsburg","
Eintracht Frankfurt
"
Starting XI
35,M. Hitz,[],1,L. Hradecky,[]
2,P. Verhaegh,[],19,D. Abraham,[]
36,M. Hinteregger,[],22,T. Chandler,[]
3,K. Stafylidis,[],6,B. Oczipka,[]
31,P. Max,"[('yellow-card', ""33'""), ('sub-out', ""74'"")]",5,Jesús Vallejo,"[('yellow-card', ""28'"")]"
16,C. Janker,"[('yellow-card', ""3'"")]",20,M. Hasebe,"[('yellow-card', ""37'"")]"
7,Halil Altıntop,[],8,S. Huszti,"[('sub-out', ""74'"")]"
10,D. Baier,"[('sub-out', ""90'+"")]",39,Omar Mascarell,[]
11,J. Schmid,"[('sub-out', ""83'"")]",11,M. Gaćinović,"[('sub-out', ""62'"")]"
21,D. Kohr,"[('yellow-card', ""80'"")]",14,A. Meier,[]
22,Dong-Won Ji,[],31,B. Hrgota,"[('sub-out', ""87'"")]"
