"
Mainz 05","
Wolfsburg
"
Starting XI
1,J. Lössl,[],28,K. Casteels,[]
16,S. Bell,[],5,J. Bruma,"[('sub-out', ""75'"")]"
2,G. Donati,[],34,R. Rodríguez,[]
24,G. Bussmann,[],31,R. Knoche,[]
22,André Ramalho,[],22,Luiz Gustavo,[]
20,F. Frei,[],14,J. Błaszczykowski,[]
8,L. Öztunali,[],10,Y. Mallı,[]
6,D. Latza,[],6,R. Bazoer,[]
15,J. Córdoba,"[('sub-out', ""90'+"")]",27,M. Arnold,[]
9,Y. Muto,"[('sub-out', ""67'"")]",11,D. Didavi,"[('sub-out', ""78'"")]"
32,P. De Blasis,"[('sub-out', ""90'"")]",33,M. Gómez,[]
