"
Werder Bremen","
Köln
"
Starting XI
33,J. Drobný,[],18,T. Kessler,[]
26,L. Sané,[],3,D. Heintz,[]
2,S. García,[],16,P. Olkowski,[]
4,R. Bauer,[],4,F. Sørensen,[]
18,N. Moisander,[],14,J. Hector,"[('yellow-card', ""90'+"")]"
29,S. Gnabry,[],15,M. Mavraj,[]
44,P. Bargfrede,[],34,K. Rausch,[]
8,C. Fritz,"[('sub-out', ""46'"")]",6,M. Höger,"[('yellow-card', ""89'"")]"
22,F. Bartels,"[('sub-out', ""90'"")]",13,Y. Ōsako,[]
14,C. Pizarro,"[('sub-out', ""75'"")]",9,A. Rudņevs,"[('sub-out', ""81'"")]"
10,M. Kruse,[],27,A. Modeste,"[('yellow-card', ""25'""), ('sub-out', ""81'"")]"
