"
Millwall","
AFC Bournemouth
"
Starting XI
1,J. Archer,[],23,A. Federici,[]
5,T. Craig,[],14,B. Smith,"[('sub-out', ""74'"")]"
17,B. Webster,[],20,M. Wilson,[]
4,S. Hutchinson,[],47,J. Lee,"[('sub-out', ""46'"")]"
2,S. Cummings,[],26,T. Mings,[]
6,S. Williams,[],7,M. Pugh,[]
8,B. Thompson,"[('yellow-card', ""61'"")]",33,J. Ibe,[]
22,A. O'Brien,"[('sub-out', ""53'"")]",22,E. Hyndman,"[('sub-out', ""56'"")]"
9,L. Gregory,"[('sub-out', ""84'"")]",6,A. Surman,"[('yellow-card', ""63'"")]"
20,S. Morison,[],31,L. Mousset,[]
10,F. Onyedinma,"[('sub-out', ""75'"")]",28,L. Grabban,[]
