,action,"FULL-TIME! Liverpool close out a narrow 2-1 win over Burnley in the Premier League, keeping the pressure firmly on the teams around them in the race for Champions League football. Goals from Wijnaldum and Can wrapped up a comeback, following Barnes' opener in the first half, but the hosts dug deep to navigate their way past a competitive travelling outfit. That's all that we have time for, we hope to see you again next time."
90'+3',action,"Over the top from Lowton! What a chance. A long throw for Burnley causes all kinds of havoc, with the right-back found in space by a nod down from Keane. He shoots from close-range at the back post, but he can't quite keep his effort down."
90'+2',action,"Liverpool are happy to sit deep and absorb the late pressure, as Burnley try to muster up a final bit of creativity at Anfield. The visitors are having a lot of possession, but a cross from Brady is helped away from the danger zone by Matip."
90'+1',action,There are four minutes of second-half stoppage time.
90',substitution,"Substitution sub-out Scott Arfield sub-in Daniel Agyei . Arfield is replaced for the dying moments, with Agyei given a rare opportunity from the bench."
89',action,"Liverpool win themselves a corner on the left-hand side, after good work from Woodburn, but Heaton manages to punch the set piece clear. Only a few minutes remain and Wijnaldum is happy to waste a bit of time near the corner."
87',yellow-card,Yellow Card Adam Lallana. Lallana picks up a yellow card for a cynical foul.
86',action,"The away side are committing a lot of players forward now, with Vokes always the target of their advances. The former Wolves striker manages to tee up Barnes on the edge of the box, but his striker partner is unable to get a shot away."
84',action,"Liverpool are happy to keep the ball and try to wind the clock down, as Burnley are very much still in this game and still threatening sporadically. Vokes is looking to make a nuisance of himself with his huge frame. Clyne shows the hosts' mood, taking a long, long time to take a throw-in."
82',action,"Vokes manages to get the wrong side of Matip, after a mistake from the former Schalke centre-back, but the Cameroon international recovers very well to deny the Burnley substitute from delivering from the left byline. The visitors are cranking the pressure up."
80',substitution,"Substitution sub-out Andre Gray sub-in Sam Vokes . Gray is replaced by Vokes up top for Burnley, as Dyche's men look to go long and pump route-one balls up to the Welsh target man."
79',substitution,"Substitution sub-out Divock Okoth Origi sub-in Lucas Pezzini-Leiva . Lucas is the next man to be brought into the fray for Liverpool, with Origi taking his leave. Klopp is shutting up shop."
77',action,"Liverpool are willing to pump the ball upfield with a little less quality in these later stages, as Burnley try to work their way back into the equation. Dyche's men are seeing more possession, with their full-backs pushing on. Lowton attempts to bend in a cross to the back post, but Brady can't get anywhere near it."
75',action,"Burnley work the ball from right to left, but they're unable to go anywhere fast with it. A long ball searches for Barnes over the top, but Clyne tucks in to make a good defensive header. Moments later, Origi is penalised for jumping unfairly with Mee. Any set-piece opportunity now sees the away side load the box."
73',substitution,"Substitution sub-out George Boyd sub-in Robbie Brady .  Brady is introduced for the away side, with Boyd taking his leave. The Irishman offers a little more quality in terms of deliveries and set-pieces."
