88',substitution,Substitution sub-out Pascal Groß sub-in Mathew Leckie .
84',substitution,Substitution sub-out Sonny Kittel sub-in Alfredo Morales .
81',assist,Assist Paul Verhaegh.
81',goal,Goal Halil Altıntop.
80',yellow-card,Yellow Card Martin Hinteregger.
78',substitution,Substitution sub-out Jan Moravek sub-in Halil Altıntop .
76',substitution,Substitution sub-out Dario Lezcano sub-in Lukas Hinterseer .
76',penalty-goal,Penalty Goal Paul Verhaegh.
75',yellow-card,Yellow Card Roger.
72',substitution,Substitution sub-out Konstantinos Stafylidis sub-in Philipp Max .
67',assist,Assist Markus Suttner.
67',goal,Goal Almog Cohen.
66',substitution,Substitution sub-out Gojko Kacar sub-in Dong-Won Ji .
66',yellow-card,Yellow Card Jan Moravek.
64',yellow-card,Yellow Card Florent Hadergjonaj.
45',yellow-card,Yellow Card Koo Ja-Cheol.
35',assist,Assist Pascal Groß.
35',goal,Goal Almog Cohen.
24',goal,Goal Sonny Kittel.
