84',penalty-goal,Penalty Goal Iago Falqué.
81',substitution,Substitution sub-out Lorenzo Insigne sub-in Emanuele Giaccherini .
80',assist,Assist José Callejón .
80',goal,Goal Dries Mertens.
76',goal,Goal Luca Rossettini.
73',substitution,Substitution sub-out Piotr Zielinski sub-in Allan .
72',yellow-card,Yellow Card Saša Lukić.
70',assist,Assist José Callejón .
70',goal,Goal Vlad Iulian Chiricheş.
69',substitution,Substitution sub-out Jorginho sub-in Amadou Diawara .
67',substitution,Substitution sub-out Daniele Baselli sub-in Maxi López .
60',yellow-card,Yellow Card Emiliano Moretti.
58',assist,Assist Marco Benassi.
58',goal,Goal Andrea Belotti.
56',substitution,Substitution sub-out Lorenzo De Silvestri sub-in Iago Falqué .
46',substitution,Substitution sub-out Mirko Valdifiori sub-in Saša Lukić .
34',yellow-card,Yellow Card Luca Rossettini.
22',goal,Goal Dries Mertens.
18',penalty-goal,Penalty Goal Dries Mertens.
13',assist,Assist José Callejón .
13',goal,Goal Dries Mertens.
