89',substitution,Substitution sub-out Florian Thauvin sub-in S. Khaoui .
85',substitution,Substitution sub-out Corentin Tolisso sub-in Jordan Ferri .
85',yellow-card,Yellow Card Hiroki Sakai.
79',substitution,Substitution sub-out Mathieu Valbuena sub-in Memphis Depay .
75',goal,Goal Alexandre Lacazette.
71',substitution,Substitution sub-out Nabil Fekir sub-in Lucas Tousart .
67',goal,Goal Dória.
66',substitution,Substitution sub-out Maxime Lopez sub-in Romain Alessandrini .
66',substitution,Substitution sub-out Bouna Sarr sub-in Rémy Cabella .
61',goal,Goal Alexandre Lacazette.
48',yellow-card,Yellow Card Rod Fanni.
43',assist,Assist Jérémy Morel.
43',goal,Goal Mathieu Valbuena.
37',yellow-card,Yellow Card Mapou Yanga-Mbiwa.
