81',substitution,Substitution sub-out J. López sub-in C. Salcido .
69',substitution,Substitution sub-out Jesús Enrique Sánchez sub-in I. Brizuela .
68',substitution,Substitution sub-out A. Zaldívar sub-in C. Fierro .
66',yellow-card,Yellow Card Jesús Enrique Sánchez.
56',assist,Assist J. Cortés.
56',goal,Goal A. Mendoza.
51',yellow-card,Yellow Card A. Mendoza.
38',assist,Assist A. Zaldívar.
38',goal,Goal A. Pulido.
31',yellow-card,Yellow Card Bryan Rabello.
27',assist,Assist A. Pulido.
27',goal,Goal J. López.
