87',substitution,Substitution sub-out Edouard Duplan sub-in Jerdy Schouten .
87',substitution,Substitution sub-out Sheraldo Becker sub-in Chovanie Amatkarijo .
83',yellow-card,Yellow Card Ernestas Šetkus.
82',substitution,Substitution sub-out Tom Trybull sub-in Hennos Asmelash .
78',substitution,Substitution sub-out Justin Kluivert sub-in Z. Casierra .
78',substitution,Substitution sub-out Hakim Ziyech sub-in  Donny Van De Beek .
76',assist,Assist Davy Klaassen.
76',goal,Goal Kasper Dolberg.
64',yellow-card,Yellow Card Tom Beugelsdijk.
34',goal,Goal Lasse Schöne.
11',assist,Assist Kasper Dolberg.
11',goal,Goal Hakim Ziyech.
