84',assist,Assist Collin Quaner.
84',goal,Goal Michael Hefele.
72',assist,Assist Aaron Mooy.
72',goal,Goal Michael Hefele.
69',substitution,Substitution sub-out Dean Whitehead sub-in Aaron Mooy .
67',substitution,Substitution sub-out Jamie Allan sub-in Jack Redshaw .
67',substitution,Substitution sub-out Reuben Lazarus  sub-in Nathaniel Mendez-Laing .
66',yellow-card,Yellow Card Harrison McGahey.
66',penalty-goal,Penalty Goal Isaih Brown.
51',yellow-card,Yellow Card Isaih Brown.
46',substitution,Substitution sub-out Elias Kachunga sub-in Michael Hefele .
46',substitution,Substitution sub-out Harry Bunn sub-in Jonathan Hogg .
42',assist,Assist Isaih Brown.
42',goal,Goal Collin Quaner.
12',substitution,Substitution sub-out Calvin Andrew sub-in Mark Kitching .
