89',yellow-card,Yellow Card Yohann Rivière.
87',yellow-card,Yellow Card Mehdi Abeid.
81',substitution,Substitution sub-out Romain Amalfitano sub-in Yohann Rivière .
73',substitution,Substitution sub-out Enzo Crivelli sub-in Florian Raspentino .
73',substitution,Substitution sub-out Axel Ngando sub-in Prince Oniangue .
62',substitution,Substitution sub-out Loïs Diony sub-in Jérémie Bela .
61',substitution,Substitution sub-out Pierre Lees Melou sub-in Marvin Martin .
58',goal,Goal Yannick Cahuzac.
46',substitution,Substitution sub-out Lassana Coulibaly sub-in Lenny Nangis .
29',assist,Assist Fouad Chafik.
29',goal,Goal Pierre Lees Melou.
17',assist,Assist Lassana Coulibaly.
17',goal,Goal Enzo Crivelli.
