83',substitution,Substitution sub-out Navarone Foor sub-in Mohammed Osman .
83',substitution,Substitution sub-out Dirk Kuyt sub-in Bilal Basacikoglu .
74',yellow-card,Yellow Card Ricky van Wolfswinkel.
74',substitution,Substitution sub-out Ricky van Wolfswinkel sub-in Zhang Yuning .
67',substitution,Substitution sub-out Milot Rashica sub-in Nathan .
63',yellow-card,Yellow Card K. El Ahmadi.
60',substitution,Substitution sub-out Eljero Elia sub-in Jens Toornstra .
57',assist,Assist Dirk Kuyt.
57',goal,Goal Steven Berghuis.
51',yellow-card,Yellow Card Miquel Nelom.
42',assist,Assist Eljero Elia.
42',goal,Goal Steven Berghuis.
24',assist,Assist Milot Rashica.
24',goal,Goal Adnane Tighadouini.
15',goal,Goal Eljero Elia.
