90',substitution,Substitution sub-out Janio Bikel sub-in Jeffrey Leiwakabessy .
81',substitution,Substitution sub-out G. Kastaneer sub-in Jerdy Schouten .
76',substitution,Substitution sub-out Ludcinio Marengo sub-in Ruben Schaken .
68',substitution,Substitution sub-out Ferdi Kadioglu sub-in Arnaut Groeneveld .
61',substitution,Substitution sub-out Edouard Duplan sub-in Dennis van der Heijden .
44',assist,Assist K. Mayi.
44',goal,Goal Mohammed Rayhi.
35',substitution,Substitution sub-out Wojciech Golla sub-in Michael Heinloth .
12',own-goal,Own Goal Tyronne Ebuehi.
12',yellow-card,Yellow Card Aschraf El Mahdioui.
10',assist,Assist Ferdi Kadioglu.
10',goal,Goal K. Mayi.
