89',substitution,Substitution sub-out Maxime Lopez sub-in Dória .
87',assist,Assist Bouna Sarr.
87',goal,Goal Bafetimbi Gomis.
83',substitution,Substitution sub-out Pierre Lees Melou sub-in Romain Amalfitano .
79',substitution,Substitution sub-out Clinton NJie sub-in Bouna Sarr .
78',goal,Goal Mehdi Abeid.
77',yellow-card,Yellow Card William Vainqueur.
74',yellow-card,Yellow Card Tomás Hubocan.
70',substitution,Substitution sub-out Florian Thauvin sub-in Zinédine Machach .
67',substitution,Substitution sub-out Frédéric Sammaritano sub-in Dylan Bahamboula .
46',substitution,Substitution sub-out Jordan Marié sub-in Johan Gastien .
36',yellow-card,Yellow Card A. Lang.
6',assist,Assist Florian Thauvin.
6',goal,Goal Maxime Lopez.
