90' + 2',substitution,Substitution sub-out Nacer Barazite sub-in Andreas Ludwig .
88',assist,Assist Sébastien Haller.
88',goal,Goal Kristoffer Peterson.
84',substitution,Substitution sub-out Iván Calero sub-in Craig Goodwin .
78',substitution,Substitution sub-out Ryan Sanusi sub-in David Mendes da Silva .
75',substitution,Substitution sub-out Sherel Floranus sub-in Bart Vriends .
75',substitution,Substitution sub-out Richairo Zivkovic sub-in Kristoffer Peterson .
63',yellow-card,Yellow Card Yassine Ayoub.
58',yellow-card,Yellow Card Ramon Leeuwin.
52',assist,Assist Yassine Ayoub.
52',goal,Goal Willem Janssen.
51',yellow-card,Yellow Card Sherel Floranus.
26',goal,Goal Iván Calero.
