83',substitution,Substitution sub-out Jordy Croux sub-in Andreias Cristian Calcan .
79',substitution,Substitution sub-out Chinedu Ede sub-in Dylan George .
73',substitution,Substitution sub-out Dico Koppers sub-in Thom Haye .
70',assist,Assist Guus Joppen.
70',goal,Goal Jordy Croux.
67',substitution,Substitution sub-out Fredrik Jensen sub-in Dylan Seys .
58',substitution,Substitution sub-out Fran Sol sub-in Elmo Lieftink .
42',assist,Assist Chinedu Ede.
42',goal,Goal Enes Ünal.
27',own-goal,Own Goal Darryl Lachman.
