89',goal,Goal E. Lugo.
86',assist,Assist Neri Raúl Cardozo.
86',goal,Goal Y. Candelo.
84',yellow-card,Yellow Card Neri Raúl Cardozo.
76',substitution,Substitution sub-out A. Sepúlveda sub-in E. Lugo .
74',substitution,Substitution sub-out J. Isijara sub-in N. Maturana .
67',substitution,Substitution sub-out J. González sub-in J. Aguirre .
66',substitution,Substitution sub-out E. Villa sub-in Camilo Da Silva Sanvezzo .
66',yellow-card,Yellow Card S. Meza.
55',yellow-card,Yellow Card J. Aguirre.
53',yellow-card,Yellow Card M. Iturra.
45' + 1',assist,Assist Neri Raúl Cardozo.
45' + 1',goal,Goal H. Mier.
41',substitution,Substitution sub-out E. Benítez sub-in Y. Candelo .
30',yellow-card,Yellow Card L. Gallegos.
26',assist,Assist L. Gallegos.
26',goal,Goal E. Puch.
13',yellow-card,Yellow Card H. Mier.
7',assist,Assist E. Villa.
7',goal,Goal L. Noriega.
