"
Sparta Rotterdam","
PSV
"
Starting XI
1,R. Kortsmit,[],1,J. Zoet,[]
5,M. Breuer,[],2,N. Isimat-Mirin,[]
8,M. Dijkstra,[],3,H. Moreno,[]
2,D. Dumfries,[],15,J. Willems,"[('sub-out', ""70'"")]"
6,R. van Drongelen,[],4,S. Arias,[]
3,S. Floranus,"[('sub-out', ""87'"")]",8,J. Hendrix,[]
7,Jerson Cabral,"[('sub-out', ""66'"")]",28,M. van Ginkel,[]
4,R. Sanusi,[],6,D. Pröpper,[]
10,P. van Moorsel,[],10,S. de Jong,"[('sub-out', ""88'"")]"
9,M. Pusic,[],19,J. Locadia,"[('sub-out', ""78'"")]"
11,L. Brogno,"[('sub-out', ""56'"")]",9,L. de Jong,[]
