"
Borussia Dortmund","
Bayer Leverkusen
"
Starting XI
38,R. Bürki,[],1,B. Leno,[]
25,S. Papastathopoulos,[],21,Ö. Toprak,"[('sub-out', ""86'"")]"
26,Ł. Piszczek,[],18,Wendell,"[('yellow-card', ""84'"")]"
13,Raphaël Guerreiro,[],16,T. Jedvaj,[]
37,E. Durm,[],20,C. Aránguiz,"[('yellow-card', ""16'""), ('sub-out', ""38'"")]"
5,Bartra,[],39,B. Henrichs,[]
7,O. Dembélé,"[('sub-out', ""73'"")]",29,K. Havertz,"[('yellow-card', ""37'"")]"
33,J. Weigl,[],8,L. Bender,"[('yellow-card', ""69'"")]"
27,G. Castro,[],44,K. Kampl,[]
17,P. Aubameyang,"[('sub-out', ""81'"")]",31,K. Volland,"[('yellow-card', ""63'"")]"
11,M. Reus,"[('sub-out', ""44'"")]",14,A. Mehmedi,"[('sub-out', ""66'"")]"
