"
Köln","
Wolfsburg
"
Starting XI
18,T. Kessler,"[('yellow-card', ""85'"")]",1,D. Benaglio,[]
34,K. Rausch,[],5,J. Bruma,"[('yellow-card', ""58'"")]"
14,J. Hector,[],34,R. Rodríguez,[]
16,P. Olkowski,"[('yellow-card', ""76'"")]",22,Luiz Gustavo,[]
3,D. Heintz,[],13,Y. Gerhardt,[]
4,F. Sørensen,[],30,P. Seguin,[]
21,L. Bittencourt,"[('sub-out', ""72'"")]",8,Vieirinha,"[('yellow-card', ""67'""), ('sub-out', ""86'"")]"
6,M. Höger,[],27,M. Arnold,[]
17,C. Clemens,"[('yellow-card', ""43'""), ('sub-out', ""63'"")]",23,J. Guilavogui,"[('yellow-card', ""85'""), ('sub-out', ""85'"")]"
13,Y. Ōsako,"[('yellow-card', ""34'""), ('sub-out', ""86'"")]",10,Y. Mallı,[]
27,A. Modeste,[],33,M. Gómez,[]
