"
Köln","
Borussia M'gladbach
"
Starting XI
1,T. Horn,[],1,Y. Sommer,[]
3,D. Heintz,"[('yellow-card', ""56'"")]",17,O. Wendt,[]
14,J. Hector,[],3,A. Christensen,[]
4,F. Sørensen,[],4,J. Vestergaard,[]
24,L. Klünter,"[('yellow-card', ""82'"")]",30,N. Elvedi,[]
34,K. Rausch,"[('sub-out', ""46'"")]",8,M. Dahoud,"[('yellow-card', ""58'"")]"
8,M. Jojić,[],5,T. Strobl,[]
33,M. Lehmann,[],23,J. Hofmann,"[('sub-out', ""75'"")]"
17,C. Clemens,"[('sub-out', ""72'"")]",10,T. Hazard,"[('yellow-card', ""89'"")]"
6,M. Höger,"[('sub-out', ""84'"")]",11,Raffael,"[('sub-out', ""54'"")]"
27,A. Modeste,[],13,L. Stindl,"[('sub-out', ""90'+"")]"
