"
Feyenoord","
Willem II
"
Starting XI
25,B. Jones,[],1,K. Lamprou,[]
4,T. Kongolo,[],26,K. Tshimanga,[]
33,Eric Botteghin,[],29,D. Lachman,[]
2,R. Karsdorp,[],4,J. Peters,[]
6,J. van der Heijden,[],46,P. van Anholt,[]
10,T. Vilhena,[],7,J. Schuurman,"[('sub-out', ""82'"")]"
28,J. Toornstra,[],8,T. Haye,"[('sub-out', ""46'"")]"
7,D. Kuijt,"[('sub-out', ""75'"")]",20,A. Kali,[]
19,S. Berghuis,[],25,E. Lieftink,[]
11,E. Elia,"[('sub-out', ""83'"")]",9,Fran Sol,[]
9,N. Jørgensen,[],14,J. Croux,"[('sub-out', ""67'"")]"
