"
Ajax","
Heracles
"
Starting XI
24,A. Onana,"[('yellow-card', ""54'"")]",1,B. Castro,[]
4,J. Riedewald,[],27,J. Hoogma,[]
5,D. Sánchez,[],12,W. Droste,[]
3,J. Veltman,[],3,M. te Wierik,[]
26,N. Viergever,"[('sub-out', ""46'"")]",21,R. Gosens,[]
22,H. Ziyech,[],10,T. Bruns,[]
10,D. Klaassen,[],14,J. Pelupessy,"[('yellow-card', ""40'"")]"
20,L. Schöne,"[('sub-out', ""78'"")]",17,B. Kuwas,"[('sub-out', ""62'"")]"
25,K. Dolberg,"[('sub-out', ""72'"")]",9,S. Armenteros,"[('yellow-card', ""54'"")]"
9,B. Traoré,[],15,J. Navrátil,"[('sub-out', ""77'"")]"
11,A. Younes,[],18,K. Peterson,[]
