"
Hamburger SV","
Augsburg"
Starting XI
31,C. Mathenia,[],35,M. Hitz,[]
6,Douglas Santos,[],16,C. Janker,[]
2,D. Diekmeier,[],3,K. Stafylidis,"[('yellow-card', ""74'""), ('sub-out', ""82'"")]"
22,M. Ostrzolek,[],31,P. Max,"[('sub-out', ""69'"")]"
24,G. Sakai,[],2,P. Verhaegh,[]
28,G. Jung,[],36,M. Hinteregger,"[('yellow-card', ""23'"")]"
5,J. Djourou,"[('yellow-card', ""62'"")]",10,D. Baier,[]
11,M. Gregoritsch,"[('sub-out', ""67'"")]",21,D. Kohr,"[('yellow-card', ""57'""), ('sec-yellow-card', ""66'"")]"
27,N. Müller,"[('sub-out', ""89'"")]",11,J. Schmid,"[('yellow-card', ""46'"")]"
8,L. Holtby,"[('red-card', ""44'"")]",7,Halil Altıntop,"[('sub-out', ""69'"")]"
17,F. Kostić,"[('sub-out', ""85'"")]",22,Dong-Won Ji,[]
