"
Hamburger SV","
Werder Bremen
"
Starting XI
31,C. Mathenia,[],33,J. Drobný,[]
28,G. Jung,[],4,R. Bauer,[]
22,M. Ostrzolek,[],18,N. Moisander,"[('yellow-card', ""39'"")]"
24,G. Sakai,[],2,S. García,[]
5,J. Djourou,"[('yellow-card', ""72'"")]",25,T. Petsos,"[('yellow-card', ""11'""), ('sub-out', ""46'"")]"
2,D. Diekmeier,"[('sub-out', ""64'"")]",13,M. Veljkovic,[]
6,Douglas Santos,[],22,F. Bartels,"[('sub-out', ""88'"")]"
11,M. Gregoritsch,"[('sub-out', ""82'"")]",16,Z. Junuzović,[]
27,N. Müller,"[('yellow-card', ""88'"")]",8,C. Fritz,[]
17,F. Kostić,[],29,S. Gnabry,"[('sub-out', ""69'"")]"
8,L. Holtby,[],10,M. Kruse,[]
