"
Mainz 05","
Werder Bremen
"
Starting XI
1,J. Lössl,[],42,F. Wiedwald,"[('yellow-card', ""90'+"")]"
16,S. Bell,[],26,L. Sané,[]
2,G. Donati,"[('yellow-card', ""39'""), ('sub-out', ""84'"")]",18,N. Moisander,[]
18,D. Brosinski,[],4,R. Bauer,[]
17,Jairo Samperio,"[('yellow-card', ""56'"")]",23,T. Gebre Selassie,"[('yellow-card', ""44'"")]"
22,André Ramalho,[],6,T. Delaney,"[('sub-out', ""54'"")]"
8,L. Öztunali,"[('sub-out', ""46'"")]",8,C. Fritz,"[('yellow-card', ""76'"")]"
25,J. Gbamin,[],22,F. Bartels,[]
6,D. Latza,"[('yellow-card', ""50'"")]",16,Z. Junuzović,"[('yellow-card', ""25'""), ('sub-out', ""89'"")]"
15,J. Córdoba,[],29,S. Gnabry,"[('sub-out', ""76'"")]"
10,Bojan,"[('sub-out', ""58'"")]",10,M. Kruse,[]
