"
Twente
","
Go Ahead Eagles
"
Starting XI
1,N. Marsman,[],1,T. Zwarthoed,[]
28,J. van der Lely,"[('yellow-card', ""66'"")]",32,J. Groenbast,[]
3,J. Andersen,[],3,S. Fischer,[]
5,S. Thesker,"[('yellow-card', ""79'"")]",4,X. Schenk,"[('yellow-card', ""20'"")]"
2,H. ter Avest,[],24,M. Ritzmaier,"[('yellow-card', ""49'"")]"
22,K. Mokotjo,[],6,S. Duits,[]
19,F. Jensen,"[('sub-out', ""74'"")]",7,D. Crowley,"[('sub-out', ""88'"")]"
43,M. Klich,[],29,Chirivella,[]
10,B. Celina,"[('sub-out', ""82'"")]",77,J. Antonia,[]
14,Y. Yeboah,"[('yellow-card', ""51'""), ('sub-out', ""75'"")]",19,S. Hendriks,"[('sub-out', ""86'"")]"
17,E. Ünal,[],28,E. Manu,"[('sub-out', ""90'+"")]"
