"
RB Leipzig","
Schalke 04"
Starting XI
32,P. Gulácsi,[],1,R. Fährmann,"[('yellow-card', ""1'"")]"
23,M. Halstenberg,"[('yellow-card', ""73'"")]",29,Naldo,[]
4,W. Orban,[],4,B. Höwedes,"[('yellow-card', ""51'"")]"
20,B. Schmitz,"[('sub-out', ""23'"")]",31,M. Nastasić,"[('yellow-card', ""39'"")]"
8,N. Keïta,[],6,S. Kolašinac,[]
31,D. Demme,[],10,N. Bentaleb,"[('yellow-card', ""80'""), ('sub-out', ""81'"")]"
13,S. Ilsanker,[],7,M. Meyer,[]
7,M. Sabitzer,[],5,J. Geis,"[('sub-out', ""86'"")]"
11,T. Werner,"[('sub-out', ""83'"")]",8,L. Goretzka,[]
10,E. Forsberg,"[('sub-out', ""90'+"")]",21,A. Schöpf,"[('yellow-card', ""49'""), ('sub-out', ""86'"")]"
9,Y. Poulsen,[],13,E. Choupo-Moting,[]
