"
Deportivo La Coruña","
Osasuna
"
Starting XI
13,P. Tytoń,[],13,Nauzet Pérez,[]
3,Fernando Navarro,[],5,David García,[]
12,Sidnei,[],21,Carlos Clerc,"[('yellow-card', ""79'"")]"
6,Albentosa,[],33,Iván Márquez,"[('yellow-card', ""73'"")]"
20,Guilherme,[],3,C. Bonnín,[]
22,C. Borges,[],10,Roberto Torres,[]
11,Carles Gil,"[('sub-out', ""72'"")]",8,G. Čaušić,[]
2,Juanfran,"[('yellow-card', ""66'"")]",20,De las Cuevas,"[('yellow-card', ""52'""), ('sub-out', ""72'"")]"
8,E. Çolak,[],11,Álex Berenguer,[]
10,F. Andone,"[('sub-out', ""80'"")]",18,Fran Mérida,"[('sub-out', ""46'"")]"
23,R. Babel,"[('sub-out', ""90'"")]",7,Sergio León,[]
