"
Tigres UANL
","
Morelia
"
Starting XI
30,A. Fernández,[],1,F. Rodríguez,"[('yellow-card', ""77'"")]"
16,L. Advíncula,[],15,S. Vegas,"[('yellow-card', ""1'"")]"
6,Jorge Torres,[],2,E. Pérez,[]
4,H. Ayala,[],24,G. Achilier,"[('yellow-card', ""90'"")]"
3,Juninho,"[('yellow-card', ""65'"")]",17,E. Loeschbor,"[('yellow-card', ""39'"")]"
29,J. Dueñas,[],26,A. Rocha,[]
19,G. Pizarro,"[('yellow-card', ""7'"")]",20,R. Millar,[]
23,L. Quiñónes,"[('sub-out', ""66'"")]",19,D. Valdés,[]
26,E. Vargas,[],23,J. Cuero,"[('yellow-card', ""83'""), ('sub-out', ""83'"")]"
10,A. Gignac,[],9,R. Ruidíaz,"[('sub-out', ""85'"")]"
18,I. Sosa,"[('sub-out', ""80'"")]",22,A. Polo,"[('sub-out', ""66'"")]"
