"
Nice
","
Bordeaux
"
Starting XI
30,Y. Cardinale,"[('yellow-card', ""82'"")]",16,C. Carrasso,[]
31,Dante,[],6,I. Lewczuk,[]
21,Ricardo Pereira,[],4,V. Jovanović,"[('yellow-card', ""24'"")]"
20,M. Le Marchand,[],3,D. Contento,[]
2,A. Souquet,"[('yellow-card', ""40'"")]",20,Y. Sabaly,[]
29,Dalbert Henrique,[],13,Y. Sankhare,[]
5,Y. Belhanda,"[('sub-out', ""78'"")]",23,V. Vada,"[('sub-out', ""71'"")]"
26,V. Koziello,[],14,J. Toulalan,[]
6,J. Seri,[],11,F. Kamano,"[('sub-out', ""78'"")]"
13,V. Eysseric,"[('sub-out', ""89'"")]",25,Malcom,[]
9,M. Balotelli,"[('yellow-card', ""88'"")]",24,G. Laborde,"[('sub-out', ""71'"")]"
