"
Stoke City","
Burnley
"
Starting XI
33,L. Grant,[],17,P. Robinson,[]
15,B. Martins Indi,[],23,S. Ward,[]
8,G. Johnson,[],4,J. Flanagan,"[('sub-out', ""81'"")]"
5,Muniesa,"[('yellow-card', ""54'"")]",5,M. Keane,[]
3,E. Pieters,[],6,B. Mee,[]
21,G. Imbula,"[('yellow-card', ""70'"")]",13,J. Hendrick,"[('yellow-card', ""14'"")]"
16,C. Adam,"[('sub-out', ""87'"")]",21,G. Boyd,"[('sub-out', ""77'"")]"
22,X. Shaqiri,"[('sub-out', ""61'"")]",37,S. Arfield,"[('sub-out', ""90'"")]"
19,J. Walters,[],8,D. Marney,[]
10,M. Arnautović,"[('sub-out', ""71'"")]",7,A. Gray,[]
18,M. Diouf,"[('yellow-card', ""85'"")]",10,A. Barnes,"[('yellow-card', ""88'"")]"
