"
Real Madrid
","
Espanyol
"
Starting XI
13,Kiko Casilla,[],13,Diego López,[]
6,Nacho,"[('sub-out', ""81'"")]",23,D. Reyes,[]
2,Daniel Carvajal,[],12,Aaron Martín,"[('yellow-card', ""80'"")]"
3,Pepe,[],6,Ó. Duarte,[]
5,R. Varane,[],14,José Jurado,"[('sub-out', ""82'"")]"
22,Isco,"[('yellow-card', ""48'"")]",15,David López,[]
16,M. Kovačić,"[('yellow-card', ""41'""), ('sub-out', ""61'"")]",9,José Antonio Reyes,"[('sub-out', ""46'"")]"
8,T. Kroos,[],20,P. Diop,"[('yellow-card', ""68'"")]"
7,Cristiano Ronaldo,[],18,Javi Fuego,"[('yellow-card', ""53'"")]"
21,Álvaro Morata,"[('sub-out', ""71'"")]",7,Gerard Moreno,"[('yellow-card', ""28'"")]"
17,Lucas Vázquez,[],19,P. Piatti,[]
