"
América","
Necaxa
"
Starting XI
23,M. Muñoz,[],1,M. Barovero,[]
282,E. Álvarez,[],5,F. Meza,[]
17,V. Alvarado,[],26,Jairo González,[]
12,Pablo Aguilar,[],33,M. De Luna,[]
6,M. Samudio,[],2,B. Beckeles,[]
2,P. Goltz,[],11,J. Isijara,[]
30,R. Ibarra,"[('sub-out', ""77'"")]",16,M. Iturra,[]
7,William da Silva,[],7,M. García,"[('sub-out', ""73'"")]"
31,C. Quintero,"[('sub-out', ""70'"")]",22,E. Puch,[]
24,O. Peralta,[],18,F. Gallegos,[]
9,S. Romero,"[('sub-out', ""59'"")]",21,F. Espíndola,"[('sub-out', ""83'"")]"
