"
Celta de Vigo
","
Granada
"
Starting XI
13,Rubén Blanco,[],13,G. Ochoa,[]
24,F. Roncaglia,[],14,F. Tabanou,"[('yellow-card', ""62'""), ('sub-out', ""65'"")]"
19,Jonny Castro,[],17,Rúben Vezo,[]
22,G. Cabral,[],5,U. Agbo,"[('sub-out', ""71'"")]"
3,Fontàs,[],6,Lombán,[]
6,N. Radoja,[],20,M. Saunier,[]
18,D. Wass,"[('sub-out', ""82'"")]",22,D. Foulquier,[]
5,M. Díaz,[],18,Andreas Pereira,"[('yellow-card', ""34'""), ('sub-out', ""57'"")]"
10,Iago Aspas,"[('sub-out', ""86'"")]",4,Sergi Samper,"[('yellow-card', ""41'"")]"
25,G. Rossi,"[('sub-out', ""70'"")]",16,M. Carcela,[]
7,T. Bongonda,[],24,A. Kravets,[]
