"
América
","
Puebla
"
Starting XI
1,A. Marchesín,[],17,C. Campestrini,[]
3,G. Burón,"[('sub-out', ""46'"")]",32,C. Pérez,[]
2,P. Goltz,"[('yellow-card', ""5'"")]",5,E. Dueñas,"[('yellow-card', ""77'"")]"
18,B. Valdez,"[('sub-out', ""51'"")]",2,R. Herrera,[]
12,Pablo Aguilar,"[('yellow-card', ""80'"")]",16,D. Toledo,[]
6,M. Samudio,[],25,A. Canelo,"[('sub-out', ""86'"")]"
30,R. Ibarra,[],3,C. Gutiérrez,[]
21,J. Guerrero,[],6,P. Míguez,[]
7,William da Silva,"[('sub-out', ""76'"")]",8,F. Acuña,[]
24,O. Peralta,[],34,G. Esparza,[]
10,C. Domínguez,[],20,Á. Navarro,"[('sub-out', ""70'"")]"
