"
Heerenveen
","
Excelsior
"
Starting XI
1,E. Mulder,[],22,T. Muyters,[]
12,D. Schmidt,[],4,H. Drost,[]
4,J. van Aken,[],15,J. Mattheij,"[('yellow-card', ""55'"")]"
5,L. Bijker,[],2,K. Karami,[]
2,S. Marzo,[],5,B. Kuipers,[]
21,Y. Kobayashi,[],18,K. Vermeulen,"[('yellow-card', ""69'""), ('sub-out', ""78'"")]"
6,S. Schaars,"[('sub-out', ""65'"")]",8,R. Koolwijk,"[('yellow-card', ""42'""), ('sub-out', ""83'"")]"
19,P. van Amersfoort,"[('yellow-card', ""42'""), ('sub-out', ""90'+"")]",12,Jeffry Fortes,[]
11,S. Larsson,"[('yellow-card', ""26'"")]",17,Fredy,[]
9,R. Ghoochannejhad,[],7,N. Hasselbaink,[]
13,A. Zeneli,"[('sub-out', ""85'"")]",11,S. Elbers,"[('sub-out', ""72'"")]"
