"
Manchester United
","
AFC Bournemouth
"
Starting XI
1,David de Gea,[],1,A. Boruc,[]
5,M. Rojo,[],3,S. Cook,[]
23,L. Shaw,"[('sub-out', ""70'"")]",26,T. Mings,"[('sub-out', ""78'"")]"
4,P. Jones,[],11,C. Daniels,[]
6,P. Pogba,[],15,A. Smith,[]
16,M. Carrick,"[('yellow-card', ""58'""), ('sub-out', ""70'"")]",6,A. Surman,"[('yellow-card', ""33'""), ('sec-yellow-card', ""45'"")]"
8,Mata,[],7,M. Pugh,"[('sub-out', ""46'"")]"
25,A. Valencia,[],8,H. Arter,"[('yellow-card', ""13'"")]"
10,W. Rooney,"[('sub-out', ""70'"")]",24,R. Fraser,[]
11,A. Martial,[],17,J. King,"[('sub-out', ""88'"")]"
9,Z. Ibrahimović,"[('yellow-card', ""39'"")]",9,B. Afobe,[]
