"
Swansea City","
Crystal Palace
"
Starting XI
1,Ł. Fabiański,[],13,W. Hennessey,"[('yellow-card', ""42'"")]"
33,F. Fernández,[],34,M. Kelly,"[('yellow-card', ""68'""), ('sub-out', ""73'"")]"
2,Jordi Amat,[],5,J. Tomkins,[]
26,K. Naughton,"[('yellow-card', ""72'""), ('sub-out', ""86'"")]",2,J. Ward,[]
3,N. Taylor,[],6,S. Dann,[]
56,J. Fulton,"[('yellow-card', ""86'"")]",42,J. Puncheon,"[('yellow-card', ""67'"")]"
23,G. Sigurðsson,[],18,J. McArthur,"[('sub-out', ""82'"")]"
15,W. Routledge,"[('yellow-card', ""22'""), ('sub-out', ""66'"")]",7,Y. Cabaye,"[('yellow-card', ""90'+"")]"
8,L. Fer,[],11,W. Zaha,[]
24,J. Cork,"[('yellow-card', ""27'"")]",17,C. Benteke,[]
17,M. Barrow,"[('sub-out', ""80'"")]",21,C. Wickham,"[('sub-out', ""52'"")]"
