"
Morelia","
Toluca
"
Starting XI
1,F. Rodríguez,[],1,A. Talavera,[]
24,G. Achilier,[],5,O. González,[]
15,S. Vegas,[],4,P. Da Silva,[]
2,E. Pérez,"[('yellow-card', ""12'""), ('sub-out', ""81'"")]",2,E. Velarde,[]
17,E. Loeschbor,[],29,Rodrigo Salinas,"[('yellow-card', ""58'"")]"
19,D. Valdés,"[('yellow-card', ""53'"")]",25,J. Méndez,"[('yellow-card', ""27'""), ('sub-out', ""62'"")]"
26,A. Rocha,[],19,R. Sambueza,[]
20,R. Millar,"[('sub-out', ""71'"")]",24,P. Barrientos,[]
22,A. Polo,"[('sub-out', ""66'"")]",15,A. Ríos,[]
9,R. Ruidíaz,[],20,F. Uribe,"[('sub-out', ""90'+"")]"
23,J. Cuero,[],7,Gabriel Hauche,"[('sub-out', ""90'"")]"
