"
Everton","
Sunderland
"
Starting XI
1,Joel Robles,[],13,J. Pickford,[]
23,S. Coleman,[],3,B. Oviedo,"[('yellow-card', ""77'"")]"
25,Ramiro Funes Mori,[],16,J. O'Shea,[]
3,L. Baines,[],23,L. Koné,[]
5,A. Williams,[],2,B. Jones,"[('sub-out', ""90'"")]"
17,I. Gueye,[],44,A. Januzaj,[]
2,M. Schneiderlin,[],17,D. Ndong,[]
8,R. Barkley,"[('sub-out', ""83'"")]",7,S. Larsson,[]
26,T. Davies,"[('sub-out', ""70'"")]",24,D. Gibson,"[('yellow-card', ""35'""), ('sub-out', ""79'"")]"
31,A. Lookman,"[('sub-out', ""60'"")]",18,J. Defoe,[]
10,R. Lukaku,[],9,F. Borini,"[('sub-out', ""79'"")]"
