"
Lincoln City","
Brighton & Hove Albion
"
Starting XI
1,P. Farman,[],1,N. Mäenpää,"[('sub-out', ""56'"")]"
25,S. Raggett,[],4,U. Hünemeier,[]
3,S. Habergham,[],44,S. Adekugbe,[]
2,B. Wood,"[('yellow-card', ""41'"")]",18,C. Goldson,[]
5,L. Waterfall,[],27,F. Tomori,"[('yellow-card', ""37'"")]"
8,A. Power,"[('yellow-card', ""35'""), ('sub-out', ""90'+"")]",14,S. Sidwell,[]
30,A. Woodyard,[],29,R. Towell,"[('yellow-card', ""24'""), ('sub-out', ""68'"")]"
11,T. Hawkridge,[],21,O. Norwood,"[('yellow-card', ""90'"")]"
28,N. Arnold,[],8,J. Skalák,"[('sub-out', ""68'"")]"
31,T. Robinson,"[('sub-out', ""87'"")]",20,S. March,[]
9,M. Rhead,"[('sub-out', ""88'"")]",17,G. Murray,"[('yellow-card', ""53'"")]"
